Corporation,ROE - Return On Equity,Net Profit Margin,Operating Cash Flow Per Share,Debt/Equity Ratio
"HCA Healthcare, Inc.",-14.5729,4.3053,0.6984,-2.6149
Halliburton Company,22.7754,11.4342,1.5676,0.3647
"Hanesbrands, Inc.",35.6163,6.0142,0.0968,2.9921
"Harley-Davidson, Inc.",11.7664,3.0157,2.3478,2.6066
Harsco Corp.,-0.6142,-0.3485,-1.2699,0.7449
Harsco Corporation,-0.6142,-0.3485,-1.2699,0.7449
"Hasbro, Inc.",24.6222,9.9384,0.7875,0.8742
Hess Corporation,12.7194,6.2755,4.4548,0.3321
Hexcel Corporation,16.8911,9.7314,0.4268,0.3128
Holly Energy Partners LP,9.8402,29.3992,-0.2063,0.8213
"Holly Energy Partners, L.P.",9.8402,29.3992,-0.2063,0.8213
Hologic Inc.,5.3509,8.7825,-0.0397,0.5069
"Hologic, Inc.",5.3509,8.7825,-0.0397,0.5069
"Honda Motor Co., Ltd",4.4741,2.794,-1.9172,0.9138
"Honeywell International, Inc.",17.107,5.6585,-1.8035,0.693
Hormel Foods Corp.,18.0161,6.0062,0.0051,0.094
Hormel Foods Corporation,18.0161,6.0062,0.0051,0.094
Houghton Mifflin Harcourt Publishers Inc.,323.5288,-168.4844,-0.0156,-4.4646
"Houghton Mifflin Harcourt Publishers, Inc.",323.5288,-168.4844,-0.0156,-4.4646
Hovnanian Enterprises Inc.,45.274,-25.208,-61.8171,-3.42
"Hovnanian Enterprises, Inc.",45.274,-25.208,-61.8171,-3.42
Humana Inc.,17.5989,3.8526,-0.8161,0.2437
"Huntington Ingalls Industries, Inc.",-11.6414,-1.5209,3.4631,2.1641
Huntsman Corporation,14.1329,2.2012,1.7559,2.2218
"IDACORP, Inc.",10.2396,16.5552,-0.0575,0.9285
IDEX Corporation,11.42,10.3828,-0.3825,0.3837
IRSA Propiedades Comerciales S.A.,28.7341,30.4245,1.4524,0.8127
"Industrias Bachoco, S.A.B. de C.V.",12.2634,8.0798,1.2454,0.0394
"Ingles Markets, Incorporated",9.0427,1.0944,-0.7698,1.9797
Intel Corporation,28.1893,23.9671,0.9436,0.1597
"Interface, Inc.",13.6173,4.0629,-0.3653,1.0479
"Interpublic Group of Companies, Inc.",11.9894,4.1676,0.4433,0.6767
"Interpublic Group of Companies, Inc. (The)",11.9894,4.1676,0.4433,0.6767
Intuit Inc.,26.2997,18.3821,0.1248,0.3819
Iron Mountain Inc.,19.6461,13.1203,0.0461,2.6738
Iron Mountain Incorporated,19.6461,13.1203,0.0461,2.6738
"Johnson Controls, Inc.",19.9627,8.0123,1.2045,0.0916
Juniper Networks Inc.,5.9946,9.5556,0.3149,0.1409
"Juniper Networks, Inc.",5.9946,9.5556,0.3149,0.1409
"KAR Auction Services, Inc",5.5922,3.8187,1.1207,1.5071
Kaiser Aluminum Corporation,2.8758,1.9288,-0.1127,0.175
Kinross Gold Corporation,3.4275,25.6337,0.04,0.037
Kirby Corporation,10.1267,10.3757,-1.4131,0.1727
Kohl's Corporation,17.9318,6.2061,2.174,0.6521
"Kratos Defense and Security Solutions, Inc.",-7.5176,-3.3898,-1.4848,2.0982
Kronos Incorporated,34.729,16.5183,1.3005,0.395
"Kronos Worldwide, Inc.",34.729,16.5183,1.3005,0.395
LKQ Corporation,11.8175,6.8453,-0.0238,0.425
Lamar Advertising Company,0.8174,0.5742,-0.0772,2.5727
Laredo Petroleum Inc.,13.944,20.8462,63.6594,0.8381
"Laredo Petroleum, Inc.",13.944,20.8462,63.6594,0.8381
Las Vegas Sands Corp.,19.9501,13.49,0.9177,1.0629
"Las Vegas Sands, LLC",19.9501,13.49,0.9177,1.0629
Lear Corporation,22.2717,3.8194,1.6797,0.2715
"Leidos Holdings, Inc.",-10.7749,0.9767,4.7619,0.8492
Lennar Corporation,3.4068,2.94,-2.7796,1.2589
Lennox International Inc.,23.835,3.1082,-1.9027,0.9942
"Lions Gate Entertainment, Inc.",-43.5685,-2.464,-3.8839,18.6913
"Live Nation Entertainment, Inc.",-4.3542,-1.5419,-0.2202,1.0547
Lockheed Martin Corporation,266.4336,5.7098,2.1921,6.4535
Louisiana-Pacific Corporation,-17.5342,-13.6449,-0.6721,0.7284
LyondellBasell Industries N.V.,84.7102,26.0433,3.6223,0.5245
"M.D.C. Holdings, Inc.",-11.327,-11.7542,2.093,0.9127
"MDU Resources Group, Inc.",9.1127,6.1379,-1.6418,0.567
MRC Global (US) Inc.,4.0207,0.5998,-2.5512,2.1179
MSCI Inc.,13.2871,19.2525,2.0854,0.8249
Madison Gas and Electric Company,11.0587,11.1512,0.1947,0.6599
"Magellan Midstream Partners, L.P.",28.2606,23.654,0.6168,1.4704
Magna International Inc.,12.4861,4.037,2.8388,0.012
ManTech International Corporation,12.2383,4.6448,1.3138,0.1836
ManpowerGroup Inc.,-10.9962,-1.3972,-3.0431,0.2912
Marathon Petroleum Corporation,7.557,0.9954,-0.3324,0.1133
"Martin Marietta Materials, Inc.",6.7261,5.8695,-1.2953,0.7035
Martin Midstream Partners L.P.,3.9643,1.4443,2.4386,1.3648
"MasTec, Inc.",12.0137,3.7439,-2.1599,0.6099
Masco Corporation,-47.4394,-8.0614,-0.6456,5.4245
Masonite International Corporation,-0.4893,-0.4388,-1.4155,0.3241
"McCormick & Company, Incorporated",21.5508,10.1201,-0.1726,0.7736
McKesson Canada Corporation,20.1874,1.147,2.8633,0.5826
McKesson Corporation,20.1874,1.147,2.8633,0.5826
Merck Sharp & Dohme Corp.,1.7287,1.8679,1.9763,0.3148
"Meritor, Inc.",-8.5328,1.363,-1.9856,-1.076
Methanex Corporation,5.5886,5.1729,0.3891,0.6656
"Micron Technology, Inc.",16.9141,24.3429,-0.4841,0.1784
Microsoft Corporation,40.555,33.0984,0.4447,0.2088
Millicom International Cellular S.A.,19.2113,42.2148,1.3975,0.7445
"Mohawk Industries, Inc.",5.8056,3.4259,-5.172,0.5054
"MoneyGram International, Inc.",-15.1492,-35.1659,-1.9661,-7.3584
Mosaic Company (The),16.0908,17.377,0.7761,0.0878
"Motorola Solutions, Inc.",14.0501,14.1168,0.1213,0.2911
"Mueller Water Products, Inc.",-2.6385,-3.9498,-0.299,1.7897
Murphy Oil Company Ltd.,9.1356,3.9832,6.5089,0.1146
Murphy Oil Corporation,9.1356,3.9832,6.5089,0.1146
NCR Corp.,16.048,2.8444,0.1068,0.012
NCR Corporation,16.048,2.8444,0.1068,0.012
NRG Energy Inc.,2.5688,2.0707,-1.5516,1.2417
"NRG Energy, Inc.",2.5688,2.0707,-1.5516,1.2417
"Nabors Industries, Inc.",4.789,2.2681,-91.3302,0.8316
National Grid North America Inc.,19.4976,15.0805,-3.3116,2.5579
National Grid PLC,19.6082,14.7339,-2.2136,2.4903
NetApp Inc.,14.1001,9.7125,0.3863,0.2946
"NetApp, Inc.",14.1001,9.7125,0.3863,0.2946
"Netflix, Inc.",35.1777,7.0563,0.1077,0.6223
New York Times Company (The),8.296,5.4376,-0.6845,1.5005
NewMarket Corporation,37.3835,9.677,2.2647,0.4462
"NextEra Energy, Inc.",13.533,12.7767,-0.4193,1.4399
Nielsen Holdings plc,1.3144,1.5766,-0.1487,1.4572
Nokia Corporation,16.2063,3.164,0.4903,0.367
"Nordstrom, Inc.",34.9182,6.2891,0.119,1.8645
Norfolk Southern Corporation,19.3321,17.0695,1.8863,0.7608
Northrop Grumman Corporation,20.1819,8.0191,-0.6361,0.3807
Northwest Natural Gas Company,8.8237,7.6135,3.9852,1.1523
Novartis AG,13.758,15.0568,-0.1834,0.3068
Novo Nordisk A/S,43.2939,25.7694,0.2028,0.0228
Nucor Corporation,2.8145,0.8348,-0.9873,0.5857
O'Reilly Automotive Inc,13.0659,7.7697,2.8874,0.1118
OGE Energy Corp.,12.8968,8.7566,0.245,1.0691
"ONEOK, Inc.",19.936,2.4355,2.4535,1.5096
"OSI Restaurant Partners, LLC",8.6856,5.094,-0.7825,0.0072
Oasis Petroleum Inc.,12.5174,24.0269,1.369,1.2614
Occidental Petroleum Corp.,17.6502,28.2384,3.3529,0.1561
Occidental Petroleum Corporation,17.6502,28.2384,3.3529,0.1561
"Oil States International, Inc.",10.3506,6.966,-4.6459,0.5604
Olin Corporation,7.8044,4.086,-1.1112,0.5974
"Omnicom Group, Inc.",26.6446,6.7897,-0.26,0.8023
Open Text Corp.,11.8528,11.9232,0.1729,0.2863
Oracle Corp.,21.2374,23.9936,0.4756,0.3956
Oracle Corporation,22.6393,26.8877,0.5106,0.3737
Oshkosh Corp.,13.2884,2.8276,-1.3132,0.5152
Oshkosh Corporation,18.2262,3.6214,-2.5777,0.664
"Oxford Industries, Inc.",14.33,3.8713,0.5205,0.5193
PACCAR Inc,8.5408,4.4458,0.473,0.9847
PDC Energy,3.3976,3.9838,-0.6702,0.8013
PG&E Corporation,6.9457,5.6432,1.1224,1.1241
"PNM Resources, Inc.",11.527,10.3703,0.1174,1.0532
"PPG Industries Securities, Inc.",27.9164,8.3251,0.559,1.0685
PPL Corporation,11.5122,10.9612,-0.2095,1.5755
PRA International,16.9851,21.9619,0.5129,0.3715
Pacific Life Insurance Company,-57.1327,-323.031,10.3643,0.0161
Peabody Energy Corporation,17.5932,11.5264,0.1018,0.5864
Pearson plc,15.8514,16.3084,-0.1932,0.344
"Penn National Gaming, Inc. (Old)",-3.4684,-2.4182,1.9867,1.2213
Penske Automotive Group Inc.,11.6838,1.089,-1.0464,2.0926
"Penske Automotive Group, Inc.",11.6838,1.089,-1.0464,2.0926
"PepsiCo, Inc.",30.7495,9.6776,0.3663,1.2811
"PerkinElmer, Inc.",7.2145,22.9751,0.1166,0.2214
PetroChina Company Limited,12.2823,7.2839,1.5329,0.2941
Pfizer Inc.,9.4294,12.6709,-0.9358,0.4986
Phillips 66,2.8433,0.5015,3.2963,0.016
Phillips 66 Company,2.8433,0.5015,3.2963,0.016
Pilgrim's Pride Corporation,8.3744,1.2663,-0.7882,1.2417
Pinnacle West Capital Corp.,9.0479,10.4731,3.2406,0.8896
Pioneer Energy Services Corp.,3.3976,3.9838,-0.6702,0.8013
Pioneer Natural Resources Company,12.1141,24.8274,6.2901,0.6156
Portland General Electric Company,8.8235,8.1081,0.8187,1.0594
"Post Holdings, Inc.",-29.5741,-43.8236,0.2383,0.5468
Precision Drilling Corporation,5.6829,4.3431,-14.7515,0.3121
ProAssurance Casualty Company,16.9851,21.9619,0.5129,0.3715
Public Service Enterprise Group Incorporated,13.6974,13.5662,2.7481,0.788
Quest Diagnostics Inc,18.3728,9.9295,0.9942,0.7376
Range Resources Corporation,1.7851,4.6308,0.7215,0.8255
Rayonier Inc.,17.3849,16.5435,1.5048,0.6138
"Rent-A-Center, Inc.",12.0264,5.6715,1.3463,0.5449
"Republic Services, Inc.",7.6646,7.1916,0.9559,0.9009
Rio Tinto Limited,26.0303,11.175,1.0963,0.3683
Rite Aid Corporation,10.2508,8.6333,1.2042,0.4199
"Rockwell Automation, Inc.",39.8799,11.6292,1.0026,0.5177
Roper Technologies Inc.,11.7263,13.5191,1.2091,0.4875
"Roper Technologies, Inc.",11.7263,13.5191,1.2091,0.4875
Royal Dutch Shell Plc,13.6694,5.3225,1.9062,0.296
Ryerson Holding Corporation,3.2885,-0.1713,42.2987,-4.9185
"SBA Telecommunications, Inc.",1121.638,-18.1125,0.4917,-296.516
"SK Telecom Co., Ltd",12.022,9.9253,4.6381,0.4644
SS&C Technologies Holdings Europe S.a.r.l.,5.2057,13.7587,0.167,0.102
STMicroelectronics Finance B.V.,6.3787,8.0224,1.0385,0.2083
"Sally Beauty Holdings, Inc.",-97.5993,6.5377,0.3715,-6.4531
Sanmina Corporation,8.9443,1.0438,3.7746,1.6126
Sanofi SA,14.6844,16.9262,-0.0538,0.2738
Sasol Limited,17.291,14.1958,2.8595,0.1465
Scholastic Corporation,13.0194,4.7871,1.4106,0.261
Scientific Games Corporation,-1.3071,-1.4551,0.0171,3.1342
"Scientific Games International, Inc.",-1.3071,-1.4551,0.0171,3.1342
Scotts Miracle-Gro Company (The),24.9911,5.9971,-2.5328,1.4202
"SeaWorld Parks & Entertainment, Inc.",2.1907,1.4362,0.7669,1.6251
Select Medical Holdings Corporation,13.3235,3.8025,0.5341,1.67
Sempra Energy,13.5952,13.2623,-0.9574,1.0673
Service Corporation International,10.3549,6.2565,0.2258,1.3346
Sherwin-Williams Co.,32.57,4.9857,0.156,0.6549
Sherwin-Williams Company (The),32.57,4.9857,0.156,0.6549
"Sinclair Broadcast Group, Inc.",-68.7739,9.9045,-0.0094,-10.8298
Snap-on Incorporated,18.3416,9.6805,-0.215,0.636
"Sonic Automotive, Inc.",21.2746,1.3526,-3.3522,3.0503
Sonoco Products Company,13.3631,4.8751,-0.2118,0.4118
Sony Corporation,0.3576,-7.2092,-0.8711,0.7694
Southern Copper Corporation,58.082,34.2648,0.1976,0.6803
Southwest Gas Corporation,9.1233,5.95,-2.6515,1.0232
Southwestern Energy Company,16.0675,21.6095,0.2696,0.3381
"Sprouts Farmers Market Holdings, LLC",-10.2616,-2.4817,0.195,1.3841
"Stanley Black & Decker, Inc.",2.1302,2.6371,-1.7537,0.486
Starbucks Corporation,28.4457,10.6466,-0.0681,0.1252
"Steel Dynamics, Inc.",6.2402,2.2332,-1.4987,1.1493
Steelcase Inc.,8.2593,2.0622,0.2293,0.4246
"Stoneridge, Inc.",25.2088,6.4488,-0.5318,1.4789
Stryker Corporation,17.5062,16.1912,-0.1907,0.2301
Suburban Propane Partners L.P.,32.0939,9.6565,-0.6576,0.9719
"Suburban Propane Partners, L.P.",32.0939,9.6565,-0.6576,0.9719
Sysco Corporation,23.9397,2.6464,0.5299,0.6443
T-Mobile US Inc.,-161.1559,-22.8829,3.7184,1.6206
"T-Mobile USA, Inc.",-161.1559,-22.8829,3.7184,1.6206
Takeda Pharmaceutical Company Limited,6.8657,8.2284,0.2124,0.3191
Target Corporation,18.5134,4.1924,0.7191,1.1051
TechnipFMC Plc,9.3928,6.6317,-0.0938,0.7204
Teck Resources Limited,13.7292,24.0403,2.2645,0.3932
Telefonica Brasil S.A.,10.0513,14.9756,-0.1736,0.1432
Telefonica Chile S.A.,19.0002,9.8461,0.4986,2.4216
"Telefonica Finanzas Mexico, S.A. de C.V.",19.0002,9.8461,0.4986,2.4216
Telefonica S.A.,19.0002,9.8461,0.4986,2.4216
Telefonica SA,19.0002,9.8461,0.4986,2.4216
"Telephone and Data Systems, Inc.",5.4379,3.8706,1.7694,0.3327
Tempur Sealy International Inc.,712.987,15.4877,0.2676,18.9935
Terex Corporation,0.923,0.734,5.8178,1.0512
"Teva Pharmaceuticals USA, Inc.",12.3887,15.0666,0.1385,0.6497
Texas Eastern Transmission L.P.,20.4164,16.0248,-0.3687,0.5106
Texas Gas Transmission LLC,20.4164,16.0248,-0.3687,0.5106
Texas Instruments Inc.,20.4164,16.0248,-0.3687,0.5106
"Texas Instruments, Incorporated",20.4164,16.0248,-0.3687,0.5106
Textron Inc.,8.816,2.1463,0.2074,1.6149
The AES Corporation,16.4662,0.3603,-0.7934,2.2633
"The Manitowoc Company, Inc.",6.7969,-0.312,-5.8985,3.9285
Thermo Fisher Scientific Inc.,6.4195,9.9624,-0.2658,0.1391
Thomson Reuters Corporation,4.7421,6.9549,-0.0069,0.3821
Timken Company (The),22.355,8.7559,-1.0842,0.2522
"Titan International, Inc.",14.6483,3.9107,-1.3699,0.8305
TransDigm Inc.,18.7712,14.0398,1.1542,3.87
TriMas Corporation,29.2364,5.5685,-0.003,2.7038
"Trinity Industries, Inc.",7.5348,4.8395,-0.3944,1.5255
"Triumph Group, Inc.",15.7035,8.2413,1.3945,0.6462
Union Pacific Corporation,17.7199,16.8329,1.914,0.4794
Unisys Corporation,-9.0472,3.1268,-1.3615,-0.2744
United Parcel Service Inc.,41.4813,6.7373,-1.4404,1.3478
"United Parcel Service, Inc.",41.4813,6.7373,-1.4404,1.3478
UnitedHealth Group Incorporated,18.1748,5.048,0.8639,0.4114
Universal Corporation,10.1533,3.1553,5.1731,0.4451
"Universal Health Services, Inc.",19.1243,5.8899,2.0951,1.5568
Universal Hospital Services Inc.,19.1243,5.8899,2.0951,1.5568
V.F. Corporation,19.6764,9.3886,0.1603,0.4677
VEON Ltd.,5.8124,0.9568,0.5119,1.7503
"Vail Resorts, Inc.",4.0798,2.9552,6.2936,0.5828
Vale S.A.,41.2472,37.9442,0.8819,0.3134
"Valmont Industries, Inc.",9.9406,4.7775,-7.5342,0.4729
Vector Group Ltd.,-84.2637,6.4822,-0.2689,-6.6631
Verint Systems Inc.,28.1541,2.8369,0.7994,1.3898
"ViaSat, Inc.",0.8516,0.868,-0.7409,0.6162
Vulcan Materials Company,-2.5922,-3.7708,-2.2103,0.6872
"WEC Energy Group, Inc.",11.9513,10.8626,0.7577,1.3211
"WESCO International, Inc.",14.5805,3.2037,0.6159,0.5177
WPP plc,12.0755,9.1451,-4.2343,0.706
Wabash National Corporation,-109.8702,-26.112,-0.3775,0.4616
"Walgreens Boots Alliance, Inc",18.2798,3.7598,0.1506,0.1623
"Wendy's International, LLC",0.8974,0.4062,0.0763,0.6798
Westinghouse Air Brake Technologies Corp.,16.2411,8.6041,0.7377,0.3779
Westlake Chemical Corporation,14.7449,7.0902,0.5503,0.4353
"Williams Companies, Inc. (The)",41.686,4.7415,1.2613,3.3728
"Worthington Industries, Inc.",16.7711,4.5605,1.5184,0.7141
"Wynn Resorts, Limited",13.2991,3.8265,3.5889,1.3726
Xerox Corporation,5.2389,2.7042,-1.9128,0.6881
Xylem Inc.,12.1,10.2748,0.1355,0.0015
"YUM! Brands, Inc.",70.5812,10.2089,1.1426,2.1498
eBay Inc.,18.0089,27.712,0.4242,0.1166
"eBay, Inc.",18.0089,27.712,0.4242,0.1166
"iHeartCommunications, Inc.",16.4392,13.9034,0.3561,0.3301
3M COMPANY,25.0055,14.8609,0.1868,0.3326
3M Co.,25.0055,14.8609,0.1868,0.3326
ABB LTD,20.2375,8.339,-0.2554,0.2446
ABBOTT LABORATORIES,4.591,22.0862,0.11,0.6285
ACI Worldwide Inc.,9.1411,7.3279,-0.891,0.7004
"ACI Worldwide, Inc.",9.1411,7.3279,-0.891,0.7004
"ADVANCE AUTO PARTS, INC.",32.0205,6.2337,-1.5016,0.4998
AIR PRODUCTS AND CHEMICALS,15.4787,12.1446,0.3609,0.799
ALBANY INTERNATIONAL CORP.,5.1139,4.4378,0.1503,0.9013
ALLEGHENY TECHNOLOGIES,8.2322,4.4532,2.3312,0.5869
ALLIANT ENERGY CORP,11.3241,9.4245,-1.2818,0.8884
AMEREN CORPORATION,5.4165,8.4418,0.1231,0.8681
AMERICA MOVIL SAB DE CV,29.501,11.7971,-0.6909,1.3373
AMERICAN AXLE & MANUFACTURING,-303.5596,12.5456,-1.5964,-12.0373
AMERICAN ELECTRIC POWER,8.2825,8.4242,-0.0095,1.2298
AMERISOURCEBERGEN CORPORATION,31.0147,0.9208,0.876,0.5686
AMGEN INC.,22.7964,25.1665,1.8611,1.3919
"AMKOR TECHNOLOGY, INC",13.2761,3.2948,-0.0316,1.9204
"ANALOG DEVICES, INC",15.6346,24.1097,-0.2614,0.1972
ANHEUSER-BUSCH INBEV SA/NV,20.5157,18.009,0.4138,0.9755
APACHE CORPORATION,6.6005,11.6216,-3.1331,0.394
"ARC Document Solutions, Inc",-28.3885,-7.8716,-0.2607,2.0077
ARCHER-DANIELS-MIDLAND COMPANY,7.2761,1.5183,-0.8241,0.4987
"ARROW ELECTRONICS, INC",12.7081,2.4814,5.0345,0.4895
"ASBURY AUTOMOTIVE GROUP, INC",14.2376,1.6395,-5.8565,2.733
ASML Holding N.V.,28.1865,24.2271,-7.0222,0.1867
ATMOS ENERGY CORPORATION,8.1465,6.3069,0.008,1.0713
"AUTOZONE, INC",-60.1006,10.8134,1.2687,-2.4342
AVERY DENNISON CORPORATION,8.5439,3.2524,-0.5992,0.7123
AVISTA CORPORATION,6.0137,5.6212,0.7085,1.1112
"AVNET, INC",10.4934,1.7678,1.4374,0.4768
Algonquin Power & Utilities Corp.,1.7104,5.9308,0.3966,0.5504
Aluminum Corporation of China Limited,-16.0748,-5.5083,-0.4985,1.9446
Amcor Limited,9.0743,3.7525,0.0091,0.8693
Amcor Ltd.,9.0743,3.7525,0.0091,0.8693
Ameren Corp.,5.4165,8.4418,0.1231,0.8681
American Axle & Manufacturing Inc.,-303.5596,12.5456,-1.5964,-12.0373
Anheuser-Busch InBev Finance Inc,20.5157,18.009,0.4138,0.9755
"Autodesk, Inc.",12.1085,10.6998,-0.0452,0.3649
BAKER HUGHES INCORPORATED,7.6268,6.1374,0.7204,0.2847
BALL CORPORATION,32.7209,4.5366,-0.1141,2.5621
BAXTER INTERNATIONAL INC,33.0404,16.0081,-0.1394,0.7608
BCE INC,21.6179,13.202,0.346,1.0046
"BEAZER HOMES USA, INC",-51.7157,-14.4506,10.9644,5.7129
"BECTON, DICKINSON AND COMPANY",26.8375,15.179,0.8547,1.0073
BIOGEN INC.,19.8173,25.0166,0.7903,0.1638
BORGWARNER INC,16.6047,6.9732,0.8634,0.3392
BOSTON SCIENTIFIC CORPORATION,3.8844,5.7859,0.4495,0.3753
BOYD GAMING CORPORATION,-0.7771,-0.1653,-0.2278,2.6079
BRISTOL-MYERS SQUIBB COMPANY,18.3385,11.1174,1.2931,0.5422
Black Hills Corp.,8.8776,8.7266,1.6107,1.0709
Boston Scientific Corp.,3.8844,5.7859,0.4495,0.3753
Brinker International Inc.,109.3749,5.7325,0.158,5.408
"Builders FirstSource, Inc.",-113.1466,-5.3103,-0.0009,7.5049
"Burlington Stores, Inc.",-31.5203,-2.9197,0.3874,-16.648
CABOT CORPORATION,10.4177,11.6986,3.4825,0.7318
CACI International Inc.,12.6432,4.1198,0.7905,0.4938
"CACI International, Inc.",12.6432,4.1198,0.7905,0.4938
CAMPBELL SOUP COMPANY,56.1984,5.688,-0.2965,3.6802
CANADIAN NATIONAL RAILWAY,22.066,27.0161,0.1837,0.6262
"CARDINAL HEALTH, INC",5.6067,0.3304,1.6507,0.645
CARPENTER TECHNOLOGY,11.2424,6.4313,0.4653,0.4637
CATERPILLAR INC,32.5447,8.6239,-2.7025,2.2832
CDW Corporation,-234.2403,0.1781,-1.4525,-556.9863
CDW LLC,-234.2403,0.1781,-1.4525,-556.9863
CENTRAL GARDEN & PET COMPANY,4.7567,1.2455,0.9428,0.9676
CENTURY ALUMINUM COMPANY,-3.6239,-2.7993,0.4513,0.263
"CHARTER COMMUNICATIONS, INC",-204.0268,-4.0512,3.1864,85.9597
CHEMED CORPORATION,19.7013,6.2448,-1.5102,0.3858
CHEVRON CORPORATION,22.1049,10.6009,4.9149,0.0831
CIENA CORPORATION,161.872,-7.8532,2.022,-16.2075
CINTAS CORPORATION,14.3805,7.4292,0.8252,0.5947
"CISCO SYSTEMS, INC",16.8837,20.5382,0.2703,0.2742
COCA-COLA EUROPEAN PARTNERS,25.8365,9.0415,0.2096,1.039
COCA-COLA FEMSA SAB DE CV,12.8631,9.4068,3.167,0.2854
"COEUR MINING, INC",2.2143,5.4358,-1.6068,0.1212
COMMERCIAL METALS COMPANY,14.138,9.2838,-1.0213,0.6094
"CONAGRA BRANDS, INC",13.0226,5.7338,0.8668,1.7881
CONOCOPHILLIPS,15.448,13.5927,-3.0533,0.4486
"CONSTELLATION BRANDS, INC",13.558,13.8693,-0.7747,1.1556
"CORECIVIC, INC.",11.5289,9.6228,1.0649,0.8842
CORNING INC,7.5976,20.4194,0.1143,0.1606
COSTCO WHOLESALE CORPORATION,14.1157,1.7239,-0.2598,0.1103
CROWN CASTLE INTERNATIONAL,7.1835,7.2876,0.146,2.5579
"CROWN HOLDINGS, INC",514.7287,6.5998,1.7283,28.4109
CSX CORPORATION,20.3919,15.8378,-0.1244,1.0762
CUMMINS INC.,24.9211,9.49,-2.6306,0.1111
CVS HEALTH CORPORATION,10.2754,3.1384,0.8643,0.261
Canadian National Railway Co.,22.066,27.0161,0.1837,0.6262
"Carter's, Inc.",16.3525,6.6781,3.3241,0.1887
"Cedar Fair, L.P.",65.9478,9.533,1.2115,9.9202
Cementos Pacasmayo S.A.A.,32.4095,6.5773,0.104,0.5501
Century Aluminum Co.,-3.6239,-2.7993,0.4513,0.263
"Charles River Laboratories Int'l, Inc.",16.9294,8.6138,0.2665,1.105
China State Construction Int'l Holdings Ltd,-1.3259,-6.2495,0.2649,-0.6409
Cisco Systems Inc.,16.8837,20.5382,0.2703,0.2742
"CommScope Holding Company, Inc.",0.4528,0.1611,0.9915,2.0898
Commercial Metals Company,14.138,9.2838,-1.0213,0.6094
Community Health Systems Inc.,12.8016,2.0728,0.3346,3.4118
Companhia de San Bas do Estado de Sao Paulo,15.9291,17.7777,-0.6284,0.7741
"Container Store Group, Inc. (The)",-0.0557,-12.802,15.6471,1.2806
"Controladora Mabe, S.A. de C.V.",18.4496,1.7389,0.522,1.0545
Cooper-Standard Holdings Inc.,12.7242,2.6375,3.8662,0.8128
Corning Inc.,7.5976,20.4194,0.1143,0.1606
Crown Castle GS III Corp.,7.1835,7.2876,0.146,2.5579
"Cummins, Inc.",24.9211,9.49,-2.6306,0.1111
"D.R. HORTON, INC",26.6031,21.9637,-0.8732,0.6935
"D.R. Horton, Inc.",26.6031,21.9637,-0.8732,0.6935
DANA INCORPORATED,26.3598,3.7237,-0.1396,0.4641
DANAHER CORPORATION,11.403,13.5005,0.6949,0.3126
"DARDEN RESTAURANTS, INC",11.5222,6.9566,0.6616,1.3174
DAVITA INC.,16.3766,6.5477,-0.494,2.1853
"DELTA AIR LINES, INC",-47.3487,2.7516,-0.4449,-5.9639
DELUXE CORPORATION,47.7702,10.142,0.4353,2.4504
DEVON ENERGY CORPORATION,-0.8694,-2.1682,-2.5,0.5472
DIAGEO PLC,31.997,21.7353,-0.1806,1.3181
DOVER CORPORATION,13.215,12.2395,0.2397,0.5692
DTE ENERGY COMPANY,9.0946,6.9389,1.0312,1.0891
DTE Energy Company,9.0946,6.9389,1.0312,1.0891
DUKE ENERGY CORPORATION,7.4918,11.742,-1.982,0.9184
Darden Restaurants Inc.,11.5222,6.9566,0.6616,1.3174
Delta Air Lines Inc.,-47.3487,2.7516,-0.4449,-5.9639
"DigitalGlobe, Inc.",7.2303,9.2549,2.5893,0.8966
EASTMAN CHEMICAL COMPANY,31.9306,8.9997,0.4772,0.8406
EBAY INC.,12.5042,18.5404,0.4296,0.2166
ECOLAB INC.,8.0699,6.803,-1.1685,1.3301
EDISON INTERNATIONAL,16.8999,-1.5427,-1.7693,0.8405
EDISON MISSION ENERGY,11.5453,2.366,0.5371,0.1149
ELI LILLY AND COMPANY,32.1205,17.9017,0.2937,0.5162
EMERSON ELECTRIC CO.,19.3833,8.0616,-0.1346,0.5069
ENERGIZER HOLDINGS INC,19.7584,8.953,3.7457,1.2237
ENTERGY CORPORATION,9.4417,8.2185,-0.9983,1.4501
ENTERPRISE PRODUCTS PARTNERS,18.2611,5.6828,-0.3183,1.2185
"EOG RESOURCES, INC",4.2927,4.8814,1.073,0.4751
EQT CORPORATION,3.8294,13.3163,-0.6994,0.6496
EQUIFAX INC,13.8668,12.3019,0.5166,0.5884
"EQUINIX, INC.",4.7317,6.0536,3.4944,1.5875
EXELON CORPORATION,5.3889,4.9385,0.1883,0.9021
"EXPEDIA, INC.",12.6802,6.9515,2.8882,0.5229
EXXON MOBIL CORPORATION,26.2567,8.4411,1.4665,0.106
Eastman Kodak Company,36.3612,-50.7172,2.7457,-0.3914
Eldorado Gold Corp.,5.2374,27.7158,-2.5043,0.0955
Entravision Communications Corp.,251.8237,6.0922,0.2567,63.102
FEDEX CORPORATION,15.611,6.1327,-0.4638,0.1719
FERRO CORPORATION,-186.8179,-29.5235,-0.3392,1.6779
